method,dataset,n,layout,ED_frac,ED,d_max,instance,seed,status,objective,profit,rental,arrival,time_s,time_to_best_s,n_items,n_truck,n_drone,n_rendv,W_final,W_capacity,evals,reheats,error
SA,ttd300,30,5,1.0,331.0,331.0,ttd300_n30_L5_f100,0,ok,-30523.2378,22909.0,53432.2378,1068.6448,450.783,450.783,27,16,11,12,27140.0,68251.0,27664766,244,
SA,ttd300,40,1,0.25,94.0,378.0,ttd300_n40_L1_f025,0,ok,-44076.4507,31792.0,75868.4507,1517.369,600.0343,523.4247,36,25,11,13,36164.0,91001.0,34317472,229,
VNS,ttd300,40,1,0.25,94.0,378.0,ttd300_n40_L1_f025,0,ok,-43857.6731,31838.0,75695.6731,1513.9135,600.0,207.1768,36,23,13,15,36163.0,91001.0,80525593,,
SA,ttd300,40,2,0.25,80.0,321.0,ttd300_n40_L2_f025,0,ok,-47032.8489,32463.0,79495.8489,1589.917,600.0877,498.1431,38,26,12,12,38138.0,91001.0,35813999,239,
VNS,ttd300,40,2,0.25,80.0,321.0,ttd300_n40_L2_f025,0,ok,-48643.9757,31413.0,80056.9757,1601.1395,600.0001,99.8714,37,24,13,13,37137.0,91001.0,62499152,,
SA,ttd300,40,3,0.25,96.0,382.0,ttd300_n40_L3_f025,0,ok,-53722.7193,31766.0,85488.7193,1709.7744,600.0314,154.3928,36,23,13,14,36182.0,91001.0,34635115,231,
VNS,ttd300,40,3,0.25,96.0,382.0,ttd300_n40_L3_f025,0,ok,-53186.9117,31106.0,84292.9117,1685.8582,600.0,97.2283,35,21,14,17,35181.0,91001.0,84571341,,
SA,ttd300,40,4,0.25,91.0,365.0,ttd300_n40_L4_f025,0,ok,-50897.7004,32817.0,83714.7004,1674.294,600.033,219.5569,38,25,13,14,38168.0,91001.0,35735462,239,
VNS,ttd300,40,4,0.25,91.0,365.0,ttd300_n40_L4_f025,0,ok,-51053.5309,32000.0,83053.5309,1661.0706,600.0252,201.0841,37,23,14,15,37170.0,91001.0,73531405,,
SA,ttd300,40,5,0.25,100.0,400.0,ttd300_n40_L5_f025,0,ok,-46288.6623,28997.0,75285.6623,1505.7132,600.0564,600.0564,34,22,12,15,34154.0,91001.0,33592085,224,
VNS,ttd300,40,5,0.25,100.0,400.0,ttd300_n40_L5_f025,0,ok,-47928.03,28358.0,76286.03,1525.7206,600.0226,236.5645,33,22,11,16,33150.0,91001.0,73956493,,
SA,ttd300,40,1,0.5,189.0,378.0,ttd300_n40_L1_f050,0,ok,-33047.7737,34418.0,67465.7737,1349.3155,600.0342,502.2882,40,22,18,18,40182.0,91001.0,31641247,211,
VNS,ttd300,40,1,0.5,189.0,378.0,ttd300_n40_L1_f050,0,ok,-35171.3552,32394.0,67565.3552,1351.3071,600.0761,410.0265,37,26,11,12,37172.0,91001.0,34042500,,
SA,ttd300,40,2,0.5,160.0,321.0,ttd300_n40_L2_f050,0,ok,-32688.6174,33125.0,65813.6174,1316.2723,600.0878,600.0878,39,24,15,16,39139.0,91001.0,31669973,211,
VNS,ttd300,40,2,0.5,160.0,321.0,ttd300_n40_L2_f050,0,ok,-38786.2328,33663.0,72449.2328,1448.9847,600.1026,346.0167,40,23,17,17,40143.0,91001.0,52972800,,
SA,ttd300,40,3,0.5,191.0,382.0,ttd300_n40_L3_f050,0,ok,-40771.0469,32760.0,73531.0469,1470.6209,600.0366,149.0509,37,23,14,15,37190.0,91001.0,30918623,206,
