n,ED_frac,param,value,n_layouts,objective,rental,arrival,n_truck,n_drone,n_rendv,n_items,profit,time_to_best_s,evals
30,0.25,vDfact,2,1,-52773.7,74198.7,1484.0,18.0,7.0,9.0,25.0,21425.0,450.3,34638759.0
30,0.25,vDfact,3,1,-51843.4,73268.4,1465.4,18.0,7.0,9.0,25.0,21425.0,450.4,35092851.0
30,0.25,vDfact,4,1,-51351.7,72776.7,1455.5,17.0,8.0,10.0,25.0,21425.0,450.4,34390333.0
30,0.25,vmin,0.05,1,-54348.3,74796.3,1495.9,15.0,9.0,11.0,24.0,20448.0,324.0,34743828.0
30,0.25,vmin,0.1,1,-52773.7,74198.7,1484.0,18.0,7.0,9.0,25.0,21425.0,450.3,35388895.0
30,0.25,vmin,0.25,1,-50024.5,73353.5,1467.1,21.0,6.0,8.0,27.0,23329.0,391.4,34990856.0
30,0.25,vmin,0.5,1,-46133.5,70801.5,1416.0,21.0,8.0,8.0,29.0,24668.0,47.2,34769342.0
30,0.25,vmin,0.9,1,-40244.5,65467.5,1309.4,21.0,9.0,9.0,30.0,25223.0,325.5,33984309.0
30,0.5,R,1,1,24008.6,1214.4,1214.4,18.0,12.0,12.0,30.0,25223.0,450.2,30872879.0
30,0.5,R,100,1,-95132.1,114450.1,1144.5,13.0,10.0,13.0,23.0,19318.0,55.3,30740112.0
30,0.5,R,12.5,1,10067.2,15155.8,1212.5,19.0,11.0,11.0,30.0,25223.0,450.2,30060658.0
30,0.5,R,200,1,-204751.5,216860.5,1084.3,8.0,6.0,13.0,14.0,12109.0,405.6,30690428.0
30,0.5,R,25,1,-5437.0,30660.0,1226.4,17.0,13.0,13.0,30.0,25223.0,333.0,29446898.0
30,0.5,R,50,1,-36714.6,61206.6,1224.1,16.0,13.0,13.0,29.0,24492.0,104.5,30146629.0
30,0.5,Wcap,0.25,1,-47726.2,54929.2,1098.6,4.0,4.0,11.0,8.0,7203.0,446.8,30700081.0
30,0.5,Wcap,0.5,1,-43909.5,59224.5,1184.5,11.0,7.0,13.0,18.0,15315.0,87.3,30384755.0
30,0.5,Wcap,1,1,-36714.6,61206.6,1224.1,16.0,13.0,13.0,29.0,24492.0,106.4,29687084.0
30,0.5,Wcap,2,1,-30232.9,55455.9,1109.1,17.0,13.0,13.0,30.0,25223.0,450.0,29585494.0
30,0.5,Wcap,4,1,-28841.6,54064.6,1081.3,17.0,13.0,13.0,30.0,25223.0,248.3,29986344.0
30,0.5,baseline,-,1,-36714.6,61206.6,1224.1,16.0,13.0,13.0,29.0,24492.0,105.1,30029847.0
30,0.5,vDfact,0.5,1,-55512.0,74567.0,1491.3,18.0,4.0,4.0,22.0,19055.0,317.9,36500344.0
30,0.5,vDfact,1,1,-47022.8,69973.8,1399.5,20.0,7.0,8.0,27.0,22951.0,450.7,33965301.0
30,0.5,vDfact,2,1,-36714.6,61206.6,1224.1,16.0,13.0,13.0,29.0,24492.0,105.2,30053116.0
30,0.5,vDfact,3,1,-33952.1,58444.1,1168.9,15.0,14.0,14.0,29.0,24492.0,365.9,29691596.0
30,0.5,vDfact,4,1,-32380.7,56872.7,1137.5,15.0,14.0,14.0,29.0,24492.0,164.8,28776955.0
30,0.5,vmin,0.05,1,-36954.9,60913.9,1218.3,18.0,10.0,11.0,28.0,23959.0,172.0,30099537.0
30,0.5,vmin,0.1,1,-36714.6,61206.6,1224.1,16.0,13.0,13.0,29.0,24492.0,105.9,29664560.0
30,0.5,vmin,0.25,1,-34445.4,59668.4,1193.4,17.0,13.0,13.0,30.0,25223.0,230.1,30002840.0
30,0.5,vmin,0.5,1,-32142.3,57365.3,1147.3,17.0,13.0,13.0,30.0,25223.0,349.8,29963154.0
30,0.5,vmin,0.9,1,-27826.6,53049.6,1061.0,19.0,11.0,11.0,30.0,25223.0,450.1,29859357.0
30,0.75,R,1,1,24120.9,1102.1,1102.1,17.0,13.0,13.0,30.0,25223.0,450.0,30618588.0
30,0.75,R,100,1,-84070.5,102277.5,1022.8,14.0,7.0,12.0,21.0,18207.0,345.6,30021159.0
