factor,dataset,n,layout,ED_frac,ED,d_max,instance,seed,status,objective,profit,rental,arrival,time_s,time_to_best_s,n_items,n_truck,n_drone,n_rendv,W_final,W_capacity,evals,reheats,error,vD
1,ttd300,50,1,0.5,187.0,374.0,ttd300_n50_L1_f050,1,ok,-40610.3944,39357.0,79967.3944,1599.3479,750.33,750.33,48,38,10,10,48222.0,113752.0,39530481,212,,1.0
2,ttd300,50,1,0.5,187.0,374.0,ttd300_n50_L1_f050,1,ok,-27172.9973,40611.0,67783.9973,1355.6799,750.1091,750.109,50,29,21,21,50238.0,113752.0,37000121,198,,2.0
3,ttd300,50,1,0.5,187.0,374.0,ttd300_n50_L1_f050,1,ok,-27115.3091,40082.0,67197.3091,1343.9462,750.0542,691.6264,49,29,20,20,49231.0,113752.0,35845865,191,,3.0
0,ttd300,50,1,0.75,280.0,374.0,ttd300_n50_L1_f075,1,ok,-78498.5027,34082.0,112580.5027,2251.6101,750.1563,750.1563,39,39,0,0,39195.0,113752.0,51782267,279,,1e-06
0.5,ttd300,50,1,0.75,280.0,374.0,ttd300_n50_L1_f075,1,ok,-53983.3857,36961.0,90944.3857,1818.8877,751.1965,751.1965,44,39,5,5,44220.0,113752.0,43830704,235,,0.5
1,ttd300,50,1,0.75,280.0,374.0,ttd300_n50_L1_f075,1,ok,-41498.8188,39559.0,81057.8188,1621.1564,752.8129,752.8128,48,36,12,12,48230.0,113752.0,39495798,211,,1.0
2,ttd300,50,1,0.75,280.0,374.0,ttd300_n50_L1_f075,1,ok,-27165.9067,40611.0,67776.9067,1355.5381,750.0949,750.0949,50,32,18,18,50238.0,113752.0,36424081,195,,2.0
3,ttd300,50,1,0.75,280.0,374.0,ttd300_n50_L1_f075,1,ok,-24488.0731,40611.0,65099.0731,1301.9815,750.0514,404.4569,50,27,23,23,50238.0,113752.0,35338503,189,,3.0
0,ttd300,50,1,1.0,374.0,374.0,ttd300_n50_L1_f100,1,ok,-76518.5956,34475.0,110993.5956,2219.8719,750.2638,750.2637,40,40,0,0,40197.0,113752.0,53041494,285,,1e-06
2,ttd300,50,1,1.0,374.0,374.0,ttd300_n50_L1_f100,1,ok,-27858.3954,40082.0,67940.3954,1358.8079,750.1288,750.1287,49,31,18,18,49231.0,113752.0,36283752,194,,2.0
0.5,ttd300,50,1,1.0,374.0,374.0,ttd300_n50_L1_f100,1,ok,-53072.5401,38080.0,91152.5401,1823.0508,756.1983,756.1982,46,40,6,6,46218.0,113752.0,44025439,236,,0.5
1,ttd300,50,1,1.0,374.0,374.0,ttd300_n50_L1_f100,1,ok,-41914.5692,40082.0,81996.5692,1639.9314,751.9575,751.9574,49,39,10,10,49231.0,113752.0,39605573,212,,1.0
3,ttd300,50,1,1.0,374.0,374.0,ttd300_n50_L1_f100,1,ok,-21902.182,40611.0,62513.182,1250.2636,750.0573,687.506,50,31,19,19,50238.0,113752.0,35196847,188,,3.0
0,ttd300,75,1,0.25,94.0,374.0,ttd300_n75_L1_f025,1,ok,-66535.9463,53859.0,120394.9463,2407.8989,975.1878,203.3745,65,65,0,0,65268.0,170628.0,47597710,172,,1e-06
1,ttd300,75,1,0.25,94.0,374.0,ttd300_n75_L1_f025,1,ok,-50756.9198,57102.0,107858.9198,2157.1784,975.3333,975.3333,71,52,19,19,71295.0,170628.0,39224502,140,,1.0
0.5,ttd300,75,1,0.25,94.0,374.0,ttd300_n75_L1_f025,1,ok,-58582.7618,55686.0,114268.7618,2285.3752,977.9933,977.9933,68,58,10,10,68277.0,170628.0,41701445,150,,0.5
2,ttd300,75,1,0.25,94.0,374.0,ttd300_n75_L1_f025,1,ok,-42879.8254,57688.0,100567.8254,2011.3565,975.3314,975.3314,72,42,30,30,72302.0,170628.0,37364060,134,,2.0
3,ttd300,75,1,0.25,94.0,374.0,ttd300_n75_L1_f025,1,ok,-41332.5544,56703.0,98035.5544,1960.7111,975.3354,975.3353,70,41,29,31,70292.0,170628.0,37282383,133,,3.0
